"","kingdom_final","phylum_final","class_final","order_final","family_final","genus_final","species_final"
"ASVp1_22","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci"
"ASVp1_23","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp1_24","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp1_25","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp1_26","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASVp1_27","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp1_28","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp1_29","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp1_30","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp1_31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_32","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp1_33","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp1_34","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_35","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092"
"ASVp1_36","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis"
"ASVp1_37","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii"
"ASVp1_38","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp1_39","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp1_40","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum"
"ASVp1_41","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","hominis"
"ASVp1_42","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp1_43","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp1_44","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis"
"ASVp1_45","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp1_46","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp1_47","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","longum"
"ASVp1_48","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Otoolea","symbiosa"
"ASVp1_49","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp1_50","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASVp1_51","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","durans"
"ASVp1_52","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_53","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp1_54","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp1_55","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp1_56","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp1_57","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp1_58","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_59","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp1_60","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp1_61","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp1_62","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp1_63","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_B","gnavus"
"ASVp1_64","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp1_65","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp1_66","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CHH4-2","sp018378255"
"ASVp1_67","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp1_68","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_69","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","sp902362275/sp902472315"
"ASVp1_70","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp1_71","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp1_72","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp1_73","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp1_74","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis"
"ASVp1_75","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi"
"ASVp1_76","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp1_77","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp1_78","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","durans"
"ASVp1_79","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp1_80","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp1_81","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp1_82","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","capitis"
"ASVp1_83","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp1_84","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae/bolteae/clostridioformis"
"ASVp1_85","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp1_86","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp1_87","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","hathewayi"
"ASVp1_88","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","alcoholdehydrogenati"
"ASVp1_89","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp1_90","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp1_91","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_92","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp1_93","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","epidermidis"
"ASVp1_94","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp1_95","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp1_96","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp1_97","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp1_98","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp1_99","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp1_100","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Pseudoflavonifractor_A","sp022772585"
"ASVp1_101","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp1_102","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","pseudocatenulatum"
"ASVp1_103","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sp001556435"
"ASVp1_104","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis"
"ASVp1_105","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp1_106","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci"
"ASVp1_107","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp1_108","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp1_109","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp1_110","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp1_111","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASVp1_112","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp1_113","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","hominis"
"ASVp1_114","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_115","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp1_116","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp1_117","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp1_118","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp1_119","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp1_120","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
"ASVp1_121","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp1_122","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","dentium"
"ASVp1_123","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp1_124","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp1_125","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","S5_Bg_092)"
"ASVp1_126","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp1_127","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_B","gnavus"
"ASVp1_128","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","adolescentis"
"ASVp1_129","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","diarizonae/houtenae/enterica"
"ASVp1_130","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","onderdonkii"
"ASVp1_131","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","epidermidis"
"ASVp1_132","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum"
"ASVp1_133","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp1_134","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"ASVp1_135","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Instestinimonas_A","celer"
"ASVp1_136","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp1_137","Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthella","lenta"
"ASVp1_138","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","longum"
"ASVp1_139","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp1_140","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp1_141","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp1_142","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Acutalibacteraceae","Hydrogeniiclostridium","mannosilyticum"
"ASVp1_143","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Alitiscatomonas","sp900066535"
"ASVp1_144","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","capitis"
"ASVp1_145","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","CHH4-2","sp018378255"
"ASVp1_146","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp1_147","Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Holdemania","filiformis"
"ASVp1_148","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp1_149","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp1_150","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp1_151","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp1_152","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp1_153","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp1_154","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp1_155","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp1_156","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","NA"
"ASVp1_157","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","NA"
"ASVp1_158","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp1_159","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","NA"
"ASVp1_160","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","NA"
"ASVp1_161","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","NA"
"ASVp1_162","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","NA"
"ASVp1_163","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","NA"
"ASVp1_164","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA"
"ASVp1_165","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","NA"
"ASVp1_166","Bacteria","Bacillota","Bacilli","NA","NA","NA","NA"
"ASVp1_167","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA"
"ASVp1_168","Bacteria","Bacillota","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","NA"
"ASVp1_169","Bacteria","Bacillota","Bacilli","NA","NA","NA","NA"
"ASVp1_170","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA"
"ASVp1_171","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","NA"
"ASVp1_172","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","NA"
"ASVp2_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASVp2_2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp2_3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp2_4","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_5","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp2_6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_7","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","effluvii"
"ASVp2_8","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp2_9","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_10","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","bolteae/clostridioformis"
"ASVp2_11","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","merdae"
"ASVp2_12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","xylanisolvens"
"ASVp2_13","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","thetaiotaomicron"
"ASVp2_14","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","coli"
"ASVp2_15","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp2_16","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_17","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_18","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","massiliensis"
"ASVp2_19","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_20","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp2_21","Bacteria","Bacillota_A","Clostridia","Clostridiales","Clostridiaceae","Sarcina","perfringens"
"ASVp2_22","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","muciniphila"
"ASVp2_23","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_24","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp2_25","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis"
"ASVp2_26","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","porci"
"ASVp2_27","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp2_28","Bacteria","Bacillota_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","plautii"
"ASVp2_29","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","tayi"
"ASVp2_30","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","wadsworthensis"
"ASVp2_31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp2_32","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp2_33","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","saccharophila"
"ASVp2_34","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp2_35","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Otoolea","symbiosa"
"ASVp2_36","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","dorei"
"ASVp2_37","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","subtilis"
"ASVp2_38","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_A","avium"
"ASVp2_39","Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Bifidobacteriaceae","Bifidobacterium","longum"
"ASVp2_40","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","stercoris"
"ASVp2_41","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp2_42","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","uniformis"
"ASVp2_43","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_44","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","finegoldii"
"ASVp2_45","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_B","durans"
"ASVp2_46","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","vulgatus"
"ASVp2_47","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","faecis"
"ASVp2_48","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","citroniae"
"ASVp2_49","Bacteria","Bacillota_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","sp005845215"
"ASVp2_50","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","sp005502805/sp902506165/sp900185715/sp004341515/sp025846845/sp900112185/sp008253865/sp004123845/sp001556125/vestrisii/sp001748145/vaviloviae/sp900470095/sp000735605"
"ASVp2_51","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","faecalis"
"ASVp2_52","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","fermentum"
