Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
32	PWY-8088	Yes	Yes	4	3	AROMATIC-COMPOUNDS-BIOSYN	dipicolinate biosynthesis // dipicolinic acid biosynthesis	Priestia megaterium,Bacillus subtilis	Bacteria	Biosynthesis				Aromatic compound biosynthesis			
33	PWY-6707	Yes	Yes	2	1	AROMATIC-COMPOUNDS-BIOSYN	gallate biosynthesis	Escherichia coli,Juglans regia,Arabidopsis thaliana	Bacteria	Biosynthesis				Aromatic compound biosynthesis			
34	PWY-6981	Yes	No	9	3	Super-Pathways // Glycan-Pathways // Carbohydrates-Biosynthesis	chitin biosynthesis	Aedes aegypti,Apis mellifera,Bombyx mori,Drosophila melanogaster,Haemaphysalis longicornis,Helicoverpa armigera,Locusta migratoria,Manduca sexta,Phormia regina,Saccharomyces cerevisiae,Schistocerca gregaria,Spodoptera exigua,Spodoptera frugiperda	Non-Bacteria	Biosynthesis	Biosynthesis	Glycan pathways	Superpathways	Cell structure biosynthesis			
35	CALVIN-PWY	Yes	Yes	11	7	C1-COMPOUNDS // Carbohydrates-Biosynthesis	Calvin-Benson-Bassham cycle // photosynthetic dark reactions // photosynthetic CO<SUB>2</SUB> fixation // reductive pentose phosphate pathway // Calvin cycle // photosynthesis - dark reaction // carbon fixation // Calvin-Benson cycle	Chlamydomonas reinhardtii,Nicotiana tabacum,Synechococcus elongatus,Synechocystis sp. PCC 6803,Arabidopsis thaliana	Bacteria	Degradation/utilization/assimilation				C1 Compound utilization and assimilation			
36	COLANSYN-PWY	Yes	Yes	9	7	Super-Pathways // Carbohydrates-Biosynthesis	colanic acid building blocks biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Carbohydrate biosynthesis			
37	PWY-6397	Yes	No	12	1	Glycan-Pathways // Cell-Structure-Biosynthesis	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis // arabinogalactan biosynthesis // mAGP	Mycobacterium avium,Mycobacterium leprae,Mycobacterium tuberculosis,Mycolicibacterium smegmatis	Bacteria	Biosynthesis	Glycan pathways			Cell structure biosynthesis			
38	PWY-6404	Yes	Yes	16	2	Super-Pathways // Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	Mycobacterium avium,Mycobacterium leprae,Mycobacterium tuberculosis,Mycolicibacterium smegmatis	Bacteria	Biosynthesis	Biosynthesis	Glycan pathways	Superpathways	Cell structure biosynthesis	Carbohydrate biosynthesis		
39	PWY-7820	Yes	No	6	1	Cell-Structure-Biosynthesis	teichuronic acid biosynthesis (<i>B. subtilis</i> 168)	Bacillus licheniformis,Bacillus spizizenii,Bacillus subtilis	Bacteria	Biosynthesis				Cell structure biosynthesis			
40	PWY-6454	Yes	Yes	2	1	Antibiotic-Resistance // Cell-Structure-Biosynthesis	vancomycin resistance I // D-ala-D-lactate biosynthesis	Enterococcus raffinosus,Enterococcus faecalis,Enterococcus faecium	Bacteria	Biosynthesis	Detoxification			Cell structure biosynthesis	Antibiotic resistance		
41	PWY-7290	Yes	Yes	5	1	Glycan-Pathways // Cell-Structure-Biosynthesis // Carbohydrates-Biosynthesis	<i>Escherichia coli</i> serotype O:86 <i>O</i> antigen biosynthesis // &alpha;-D-galactosyl-(1&rarr;3)-&alpha;-L-fucosyl-(1&rarr;2)-&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis // &alpha;-D-Gal-(1&rarr;3)-&alpha;-L-Fuc-(1&rarr;2)-&beta;-D-Gal-(1&rarr;3)-&alpha;-D-GalNAc-(1&rarr;3)-&alpha;-D-GalNAc-diphospho-ditrans,octacis-undecaprenol biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Biosynthesis	Glycan pathways		Cell structure biosynthesis	Carbohydrate biosynthesis		
42	ECASYN-PWY	Yes	No	9	4	Glycan-Pathways // Carbohydrates-Biosynthesis	enterobacterial common antigen biosynthesis // ECA biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Glycan pathways			Carboxylic acid biosynthesis			
43	NAGLIPASYN-PWY	Yes	Yes	5	5	Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)	Caulobacter vibrioides,Escherichia coli	Bacteria	Biosynthesis	Biosynthesis	Glycan pathways		Cell structure biosynthesis	Fatty acid and lipid biosynthesis		
44	KDO-NAGLIPASYN-PWY	Yes	Yes	13	11	Super-Pathways // Glycan-Pathways // Cell-Structure-Biosynthesis // Lipid-Biosynthesis	superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis (<i>E. coli</i>)	Escherichia coli	Bacteria	Biosynthesis	Biosynthesis	Glycan pathways	Superpathways	Cell structure biosynthesis	Fatty acid and lipid biosynthesis		
45	PWY-6733	Yes	No	7	1	Metabolic-Clusters // Cell-Structure-Biosynthesis	sporopollenin precursors biosynthesis // sporopollenin monomer biosynthesis	Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolic clusters			Cell structure biosynthesis			
46	PWY-1121	Yes	Yes	13	2	Metabolic-Clusters // Cell-Structure-Biosynthesis	suberin monomers biosynthesis	Solanum tuberosum,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Metabolic clusters			Cell structure biosynthesis			
47	PWY-7250	Yes	Yes	3	1	Cofactor-Biosynthesis	[2Fe-2S] iron-sulfur cluster biosynthesis (mitochondria) // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis	Homo sapiens,Saccharomyces cerevisiae	Non-Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
48	PANTOSYN-PWY	Yes	Yes	8	8	Super-Pathways // Cofactor-Biosynthesis	superpathway of coenzyme A biosynthesis I (bacteria)	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Cofactor, carrier, and vitamin biosynthesis			
49	PWY-8051	Yes	Yes	9	2	Lipid-Biosynthesis	anandamide biosynthesis I // the transacylation-phosphodiesterase pathway	Homo sapiens	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
50	PWY-8053	Yes	No	7	1	Lipid-Biosynthesis	anandamide biosynthesis II	Homo sapiens	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
51	FASYN-ELONG-PWY	Yes	Yes	5	3	Lipid-Biosynthesis	fatty acid elongation -- saturated	Bacillus subtilis,Brassica napus,Escherichia coli,Spinacia oleracea,Streptococcus pneumoniae,Vibrio cholerae,Arabidopsis thaliana	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
52	PWY-7094	Yes	No	6	1	Lipid-Biosynthesis	fatty acid salvage // &beta;-oxidation degradation - de novo fatty acid biosynthesis shunt	Pseudomonas aeruginosa	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
53	PWYG-321	Yes	No	23	5	Lipid-Biosynthesis	mycolate biosynthesis	Mycobacterium tuberculosis	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
54	PWY-7388	Yes	Yes	3	2	Lipid-Biosynthesis	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)	Saccharomyces cerevisiae	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
55	PWY0-881	Yes	Yes	9	6												
56	PWY-5156	Yes	Yes	9	5	Super-Pathways // Lipid-Biosynthesis	superpathway of fatty acid biosynthesis II (plant)	Persea americana,Pisum sativum,Brassica napus,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
57	FASYN-INITIAL-PWY	Yes	Yes	4	3	Super-Pathways // Lipid-Biosynthesis	superpathway of fatty acid biosynthesis initiation	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
58	PWY-6285	Yes	Yes	11	8	Super-Pathways // Lipid-Biosynthesis	superpathway of fatty acids biosynthesis (<i>E. coli</i>)	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
59	PWY-6113	Yes	Yes	26	8	Super-Pathways // Lipid-Biosynthesis	superpathway of mycolate biosynthesis	Mycobacterium tuberculosis	Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
60	PWY66-430	Yes	Yes	4	2	Lipid-Biosynthesis	tetradecanoate biosynthesis (mitochondria) // myristic acid biosynthesis (mitochondria) // myristate biosynthesis (mitochondria) // fatty acid biosynthesis (type II fatty acid synthase) // fatty acid biosynthesis (mitochondria)	Homo sapiens	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
61	PWY-7885	Yes	Yes	5	1	Lipid-Biosynthesis	phosphatidylinositol mannoside biosynthesis // PIM biosynthesis	Mycobacterium leprae,Mycobacterium tuberculosis,Mycolicibacterium smegmatis	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
62	PWY-7411	Yes	No	5	1	Lipid-Biosynthesis	phosphatidate biosynthesis (yeast)	Saccharomyces cerevisiae	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
63	PWY-7039	Yes	Yes	4	1	Lipid-Biosynthesis	phosphatidate metabolism, as a signaling molecule // PA metabolism	Catharanthus roseus,Triticum aestivum,Arabidopsis thaliana	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
64	PWY-7417	Yes	Yes	1	1	Lipid-Biosynthesis	phospholipid remodeling (phosphatidate, yeast)	Saccharomyces cerevisiae	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
65	PWY-7782	Yes	Yes	11	2	Lipid-Biosynthesis	plasmalogen biosynthesis I (aerobic)	Homo sapiens	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
66	PHOSLIPSYN-PWY	Yes	Yes	9	6	Super-Pathways // Lipid-Biosynthesis	superpathway of phospholipid biosynthesis III (<i>E. coli</i>)	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
67	PHOSLIPSYN2-PWY	Yes	No	14	6	Super-Pathways // Lipid-Biosynthesis	superpathway of phospholipid biosynthesis II (plants) // phosphoglyceride biosynthesis	Glycine max,Limnanthes douglasii,Pisum sativum,Ricinus communis,Triticum aestivum,Vigna radiata,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
68	PWY-7455	Yes	Yes	2	1	Lipid-Biosynthesis	allopregnanolone biosynthesis	Homo sapiens	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
69	PWY66-5	Yes	No	19	2	Super-Pathways // Lipid-Biosynthesis	superpathway of cholesterol biosynthesis	Homo sapiens	Non-Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
70	PWY0-1264	Yes	Yes	3	3	Energy-Metabolism	malonyl-CoA biosynthesis via biotin-carboxyl carrier protein // BCCP assembly // [biotin-carboxyl carrier protein]	Aquifex aeolicus,Bacillus subtilis,Corynebacterium glutamicum,Escherichia coli,Mycobacterium leprae,Mycobacterium tuberculosis,Myxococcus xanthus,Nicotiana tabacum,Pisum sativum,Propionibacterium freudenreichii,Pseudomonas aeruginosa,Ricinus communis,Arabidopsis thaliana	Bacteria	Generation of precursor metabolites and energy							
71	PWY-321	Yes	No	4	1	Cell-Structure-Biosynthesis	cutin biosynthesis // cutin monomer biosynthesis	Glycine max,Oryza sativa,Arabidopsis thaliana	Non-Bacteria	Biosynthesis				Cell structure biosynthesis			
72	TRIGLSYN-PWY	Yes	No	6	1	Lipid-Biosynthesis	diacylglycerol and triacylglycerol biosynthesis // triglyceride biosynthesis // Kennedy pathway // TAG biosynthesis	Carthamus tinctorius,Glycine max,Limnanthes douglasii,Pisum sativum,Ricinus communis,Saccharomyces cerevisiae,Arabidopsis thaliana	Non-Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
73	PWY-4762	Yes	No	5	1	Super-Pathways // Lipid-Biosynthesis	superpathway of choline biosynthesis	Brassica napus,Glycine max,Pisum sativum,Ricinus communis,Spinacia oleracea,Arabidopsis thaliana	Non-Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
74	LPSSYN-PWY	Yes	Yes	18	11	Super-Pathways // Lipid-Biosynthesis	superpathway of Kdo<sub>2</sub>-lipid A biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Fatty acid and lipid biosynthesis			
75	PWY-4983	Yes	Yes	3	2	Metabolic-Regulators	nitric oxide biosynthesis II (mammals) // L-citrulline-NO cycle // L-citrulline-nitric oxide cycle	Homo sapiens	Non-Bacteria	Biosynthesis				Metabolic regulators			
76	PPGPPMET-PWY	Yes	Yes	3	2	Metabolic-Regulators	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis	Escherichia coli	Bacteria	Biosynthesis				Metabolic regulators			
77	PWY66-385	Yes	Yes	3	3	Nucleotide-Biosynthesis	dTMP <i>de novo</i> biosynthesis (mitochondrial)	Homo sapiens,Saccharomyces cerevisiae	Non-Bacteria	Biosynthesis				Nucleoside and nucleotide biosynthesis			
78	PWY-6519	Yes	Yes	6	5	Other-biosynthesis	8-amino-7-oxononanoate biosynthesis I // 7-keto-8-aminopelargonate biosynthesis I	Mycobacterium tuberculosis,Candidatus Nitrososphaera gargensis Ga9.2,Escherichia coli,Francisella tularensis,Haemophilus influenzae,Helicobacter pylori,Prochlorococcus marinus	Bacteria	Biosynthesis				Other biosynthesis			
79	PWY-7147	Yes	Yes	1	1	Other-biosynthesis	8-amino-7-oxononanoate biosynthesis II // 7-keto-8-aminopelargonate biosynthesis II	Bacillus subtilis	Bacteria	Biosynthesis				Other biosynthesis			
80	PWY-6578	Yes	Yes	2	1	Other-biosynthesis	8-amino-7-oxononanoate biosynthesis III // 7-keto-8-aminopelargonate biosynthesis III	Bacillus subtilis,Lysinibacillus sphaericus,Methylobacillus flagellatus,Priestia megaterium,Ectopseudomonas mendocina,Arabidopsis thaliana	Bacteria	Biosynthesis				Other biosynthesis			
81	P125-PWY	Yes	Yes	2	1	Super-Pathways // Other-biosynthesis	superpathway of (<i>R,R</i>)-butanediol biosynthesis (from pyruvate) // butylene glycol fermentation // butanediol fermentation	Aeromonas hydrophila,Bacillus subtilis,Corynebacterium glutamicum,Klebsiella aerogenes,Klebsiella pneumoniae,Levilactobacillus brevis,Lacticaseibacillus casei,Lactobacillus helveticus,Lactiplantibacillus plantarum,Lactococcus lactis,Leuconostoc lactis,Leuconostoc mesenteroides,Oenococcus oeni,Pediococcus pentosaceus,Raoultella terrigena,Serratia marcescens,Brevibacillus brevis	Bacteria	Biosynthesis	Superpathways			Other biosynthesis			
82	PWY-6396	Yes	No	7	1	Super-Pathways // Other-biosynthesis	superpathway of 2,3-butanediol biosynthesis (from pyruvate) // butylene glycol fermentation // butanediol fermentation	Saccharomyces cerevisiae,Paenibacillus polymyxa,Corynebacterium glutamicum,Klebsiella aerogenes,Klebsiella pneumoniae,Levilactobacillus brevis,Lactococcus lactis,Leuconostoc lactis,Brevibacillus brevis	Bacteria	Biosynthesis	Superpathways			Other biosynthesis			
83	PWY-7442	Yes	Yes	3	1	SECONDARY-METABOLITE-BIOSYNTHESIS	drosopterin and aurodrosopterin biosynthesis	Drosophila melanogaster	Non-Bacteria	Biosynthesis				Secondary metabolite biosynthesis			
84	PWY-5122	Yes	Yes	1	1	Polyprenyl-Biosynthesis	geranyl diphosphate biosynthesis // GPP biosynthesis	Escherichia coli,Hevea brasiliensis,Mentha x piperita,Methanothermobacter marburgensis,Saccharomyces cerevisiae,Arabidopsis thaliana	Bacteria	Biosynthesis				Polyprenyl biosynthesis			
85	POLYISOPRENSYN-PWY	Yes	Yes	5	5	Super-Pathways // Polyprenyl-Biosynthesis	polyisoprenoid biosynthesis (<i>E. coli</i>)	Escherichia coli	Bacteria	Biosynthesis	Superpathways			Polyprenyl biosynthesis			
86	PWY-5120	Yes	Yes	1	1	Polyprenyl-Biosynthesis	geranylgeranyl diphosphate biosynthesis // GGPP biosynthesis	Bacillus subtilis,Capsicum annuum,Homo sapiens,Methanothermobacter marburgensis,Micrococcus luteus,Pantoea agglomerans,Rhodobacter capsulatus,Saccharomyces cerevisiae	Bacteria	Biosynthesis				Polyprenyl biosynthesis			
87	PWY-5121	Yes	Yes	11	10	Super-Pathways // Polyprenyl-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) // GGPP biosynthesis II (plastidic)	Capsicum annuum,Chlamydomonas reinhardtii,Escherichia coli,Hevea brasiliensis,Arabidopsis thaliana	Bacteria	Biosynthesis	Biosynthesis	Superpathways		Polyprenyl biosynthesis	Secondary metabolite biosynthesis		
88	PWY-5910	Yes	No	10	3	Super-Pathways // Polyprenyl-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // GGPP biosynthesis	Homo sapiens,Saccharomyces cerevisiae,Arabidopsis thaliana	Bacteria	Biosynthesis	Biosynthesis	Superpathways		Polyprenyl biosynthesis	Secondary metabolite biosynthesis		
89	PWY-5785	Yes	Yes	1	1	Cofactor-Biosynthesis // Polyprenyl-Biosynthesis	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	Escherichia coli	Bacteria	Biosynthesis	Biosynthesis			Cofactor, carrier, and vitamin biosynthesis	Polyprenyl biosynthesis		
